Device,Operation,Time(s),Opt,grid_size,Run,Threads
CPU,STENCIL,0.00000000,1,50000,0,1
CPU,STENCIL,0.00000000,1,50000,1,1
CPU,STENCIL,0.00000000,1,50000,2,1
CPU,STENCIL,0.00000000,1,50000,3,1
CPU,STENCIL,0.00000000,1,50000,4,1
GPU,STENCIL,0.00001135,0,100000,0,1024
GPU,STENCIL,0.00001123,0,100000,1,1024
GPU,STENCIL,0.00001092,0,100000,2,1024
GPU,STENCIL,0.00001072,0,100000,3,1024
GPU,STENCIL,0.00001030,0,100000,4,1024
CPU,STENCIL,0.00043011,0,100000,0,1
CPU,STENCIL,0.00043221,0,100000,1,1
CPU,STENCIL,0.00041616,0,100000,2,1
CPU,STENCIL,0.00041659,0,100000,3,1
CPU,STENCIL,0.00042569,0,100000,4,1
GPU,STENCIL,0.00000932,1,100000,0,1024
GPU,STENCIL,0.00000968,1,100000,1,1024
GPU,STENCIL,0.00000906,1,100000,2,1024
GPU,STENCIL,0.00000904,1,100000,3,1024
GPU,STENCIL,0.00000887,1,100000,4,1024
CPU,STENCIL,0.00000000,1,100000,0,1
CPU,STENCIL,0.00000000,1,100000,1,1
CPU,STENCIL,0.00000000,1,100000,2,1
CPU,STENCIL,0.00000000,1,100000,3,1
CPU,STENCIL,0.00000000,1,100000,4,1
GPU,STENCIL,0.00001308,0,200000,0,1024
GPU,STENCIL,0.00001335,0,200000,1,1024
GPU,STENCIL,0.00001274,0,200000,2,1024
GPU,STENCIL,0.00001262,0,200000,3,1024
GPU,STENCIL,0.00001288,0,200000,4,1024
CPU,STENCIL,0.00088053,0,200000,0,1
CPU,STENCIL,0.00086600,0,200000,1,1
CPU,STENCIL,0.00084424,0,200000,2,1
CPU,STENCIL,0.00083359,0,200000,3,1
CPU,STENCIL,0.00083879,0,200000,4,1
GPU,STENCIL,0.00000984,1,200000,0,1024
GPU,STENCIL,0.00000963,1,200000,1,1024
GPU,STENCIL,0.00000960,1,200000,2,1024
GPU,STENCIL,0.00000974,1,200000,3,1024
GPU,STENCIL,0.00000980,1,200000,4,1024
CPU,STENCIL,0.00000000,1,200000,0,1
CPU,STENCIL,0.00000000,1,200000,1,1
CPU,STENCIL,0.00000000,1,200000,2,1
CPU,STENCIL,0.00000000,1,200000,3,1
CPU,STENCIL,0.00000000,1,200000,4,1
GPU,STENCIL,0.00001802,0,400000,0,1024
GPU,STENCIL,0.00001739,0,400000,1,1024
GPU,STENCIL,0.00001748,0,400000,2,1024
GPU,STENCIL,0.00001707,0,400000,3,1024
GPU,STENCIL,0.00001738,0,400000,4,1024
CPU,STENCIL,0.00175941,0,400000,0,1
CPU,STENCIL,0.00172765,0,400000,1,1
CPU,STENCIL,0.00170061,0,400000,2,1
